json_file,taxon_name,compound_name,inchikey,decision
10.5772_28961.json,vernonanthura patens (kunth) h. rob,1 - bromo-octadecane,WSULSMOGMLRGKU-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,2 - bromo dodecane,GIUUCQVKMWBSRT-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,squalene,YYGNTYWPHWGJRM-AAJYLUCBSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,"heptadecane, 3-methyl-",HPDKJRSKBCPMIY-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,hexadecane,DCAYPVUWAIABOU-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,α-caryophyllene,FAMPSKZZVDUYOS-HRGUGZIWSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,nonadecane,LQERIDTXQFOHKA-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,hentriacontane,IUJAMGNYPWYUPM-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,1-iodo-hexadecane,KMWHQYDMBYABKL-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,eicosane,CBFCDTFDPHXCNY-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,4-methyl-heptadecane,YPPNOYRCEQRCHY-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,"5,14-dibutyl-octadecane",VZZCEMBCJSFMMD-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,9-octyl-heptadecane,ZLIOPNROBPMBFI-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,lupeol,MQYXUWHLBZFQQO-QGTGJCAVSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,"2,6,11-trimethyl-dodecane",FONXOARHSFUBAN-UHFFFAOYSA-N,Yes
10.5772_28961.json,vernonanthura patens (kunth) h. rob,heptadecane,NDJKXXJCMXVBJW-UHFFFAOYSA-N,Yes
10.9734_jocamr_2019_v8i430130.json,annona muricata l,saponins,AXNVHPCVMSNXNP-ZELRDNAQSA-N,No
10.9734_jocamr_2019_v8i430130.json,persea americana mill,saponins,AXNVHPCVMSNXNP-ZELRDNAQSA-N,No
10.9734_jocamr_2019_v8i430130.json,montrichardia arborescens l. schott,saponins,AXNVHPCVMSNXNP-ZELRDNAQSA-N,No
10.11144_javeriana.sc19-3.mlab.json,montrichardia linifera,p-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,Yes
10.11144_javeriana.sc19-3.mlab.json,montrichardia linifera,steroids,DNVZSDMHLPWULM-PFJMVCNFSA-N,No
10.20873_jbb.uft.cemaf.v10n1.menezes.json,protium spruceanum,catechins,PFTAWBLQPZVEMU-UHFFFAOYSA-N,No
10.20873_jbb.uft.cemaf.v10n1.menezes.json,protium spruceanum,resins,ZLGIYFNHBLSMPS-ATJNOEHPSA-N,No
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,kaempferol 3-o-β-d-glucopyranoside,JPUKWEQWGBDDQB-QSOFNFLRSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,"5,7-dihydroxy-3,8,4'-trimethoxyflavone",RXQVMRRNRHSOTC-UHFFFAOYSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,pheophytin b,AMVFDCTXPYHACR-KMFDAVQUSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,methyl-4-hydroxycinnamate,NITWSHWHQAQBAW-UHFFFAOYSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,"3,5,7,3',4'-pentahydroxyflavone",REFJWTPEDVJJIY-UHFFFAOYSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,lupeol,MQYXUWHLBZFQQO-QGTGJCAVSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,pheophytin a,FDHFJXKRMIVNCQ-OSIZZBRKSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,"3,5,7,4'-tetrahydroxyflavone",IYRMWMYZSQPJKC-UHFFFAOYSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,"5,8-dihydroxy-7,4'-dimethoxyflavone",OVFDXRVXQRNNCT-UHFFFAOYSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,α-amyrin,FSLPMRQHCOLESF-SFMCKYFRSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,decanol,MWKFXSUHUHTGQN-UHFFFAOYSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,β-amyrin,JFSHUTJDVKUMTJ-QHPUVITPSA-N,Yes
10.21577_0100-4042.20250134.json,pavonia malacophylla (link & otto) garcke,β-sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,Yes
10.24377_jnpd.article871.json,erigeron floribundus (kunth) sch.bip,saponins,AXNVHPCVMSNXNP-ZELRDNAQSA-N,No
10.25081_jmhe.2020.v6.6431.json,prosthechea cochleata,coumarins,PJVWKTKQMONHTI-UHFFFAOYSA-N,No
10.25081_jmhe.2020.v6.6431.json,prosthechea cochleata,steroids,DNVZSDMHLPWULM-PFJMVCNFSA-N,No
10.25081_jmhe.2020.v6.6431.json,prosthechea cochleata,triterpenes,XBZYWSMVVKYHQN-MYPRUECHSA-N,No
10.25081_jmhe.2020.v6.6431.json,prosthechea cochleata,saponins,AXNVHPCVMSNXNP-ZELRDNAQSA-N,No
10.25081_jmhe.2020.v6.6431.json,prosthechea livida,coumarins,PJVWKTKQMONHTI-UHFFFAOYSA-N,No
10.25081_jmhe.2020.v6.6431.json,prosthechea livida,steroids,DNVZSDMHLPWULM-PFJMVCNFSA-N,No
10.25081_jmhe.2020.v6.6431.json,prosthechea livida,triterpenes,XBZYWSMVVKYHQN-MYPRUECHSA-N,No
10.25081_jmhe.2020.v6.6431.json,prosthechea livida,saponins,AXNVHPCVMSNXNP-ZELRDNAQSA-N,No
10.29327_269504.3.1-28.json,curatella americana,lupeol,MQYXUWHLBZFQQO-QGTGJCAVSA-N,Yes
