,DOI,title,sanitised_dois,plant_species_binomials_unique_total,plant_species_binomials_counts
326,10.5772/56424,"Discovery, Development, and Regulation of Natural Products",10.5772%2F56424,1,['taxus brevifolia']
1200,10.1186/1472-6882-14-473,Reasons why Thai patients with chronic kidney disease use or do not use herbal and dietary supplements,10.1186%2F1472-6882-14-473,15,"['zizyphus mauritiana', 'moringa oleifera', 'citrus aurantifolia', 'centella asiatica', 'momordica charantia', 'tradescantia fluminensis', 'clitoria ternatea', 'houttuynia cordata', 'clerodendrum petasites', 'hibiscus sabdariffa', 'schisandra chinensis', 'zingiber officinale', 'momordica cochinchinensis', 'boesenbergia rotunda', 'helicteres isora']"
3159,10.1002/ppp3.10131,Comparative analysis of four medicinal floras: phylogenetic methods to identify cross-cultural patterns,10.1002%2Fppp3.10131,14,"['abies homolepis', 'picea smithiana', 'taxus wallichiana', 'araucaria bidwillii', 'ephedra gerardiana', 'gnetum montanum', 'juniperus communis', 'cycas circinalis', 'tsuga dumosa', 'ginkgo biloba', 'podocarpus neriifolius', 'cupressus sempervirens', 'cedrus deodara', 'pinus wallichiana']"
3381,10.5530/pj.2021.13.11,"Standardization of Eleutherine bulbosa Urb. Bulbs and Total Flavonoid Content from Three Locations in Kalimantan, Indonesia",10.5530%2Fpj.2021.13.11,13,"['ipomoea reptans', 'ventilago calyculata', 'eleutherine bulbosa', 'carthamus tinctorius', 'eleutherine palmifolia', 'luvunga sarmentosa', 'eleutherine americana', 'ipomoea batatas', 'citrus microcarpa', 'cinnamomum burmannii', 'anredera cordifolia', 'ziziphus spina-christi', 'abelmoschus manihot']"
4563,10.1186/1746-4269-9-63,"Ethnomedicinal study of plants used for human ailments in Ankober District, North Shewa Zone, Amhara Region, Ethiopia",10.1186%2F1746-4269-9-63,20,"['silene macrosolen', 'thalictrum rhynchocarpum', 'echinops kebericho', 'clematis hirsuta', 'allium sativum', 'withania somnifera', 'nuxia congesta', 'datura stramonium', 'podocarpus falcatus', 'croton macrostachyus', 'hagenia abyssinica', 'jasminum abyssinicum', 'ocimum lamiifolium', 'ekebergia capensis', 'juniperus procera', 'olea europaea', 'solanum anguivi', 'zehneria scabra', 'embelia schimperi', 'asparagus africanus']"
5029,10.25501/SOAS.00018548,"Social representation and rural development: transformation in governance, institutions, and livelihoods in response to emerging global markets for medicinal plants in the Indian Himalayas",10.25501%2FSOAS.00018548,11,"['jurinea dolomiaea', 'aconitum heterophyllum', 'prunus africana', 'harpagophytum procumbens', 'jurinea macrocephala', 'podophyllum hexandrum', 'cannabis sativa', 'angelica glauca', 'acorus calamus', 'viola serpens', 'taxus baccata']"
5408,10.1111/1467-9655.12402,"Sustenance, nourishment, and cultivation:Plants as living cultural heritage for dispersed Chagossians in Mauritius, Seychelles, and the UK",10.1111%2F1467-9655.12402,23,"['zingiber officinalis', 'citrus limon', 'kalanchoe pinnata', 'momordica charantia', 'plectranthus madagascariensis', 'moringa oleifera', 'cocos nucifera', 'aloe vera', 'ochrosia parviflora', 'cassytha filiformis', 'vernonia cinerea', 'citrus aurantifolia', 'ricinus communis', 'bidens pilosa', 'euphorbia tirucalli', 'mentha x', 'ocimum tenuiflorum', 'aloe barbadensis', 'ayapana triplinervis', 'morinda citrifolia', 'asplenium nidus', 'ipomoea pes-caprae', 'mimosa pudica']"
7290,10.1186/1746-4269-3-5,Fataluku medicinal ethnobotany and the East Timorese military resistance,10.1186%2F1746-4269-3-5,21,"['jatropha curcas', 'tamarindus indica', 'cerbera manghas', 'dioscorea bulbifera', 'barringtonia asiatica', 'carica papaya', 'gmelina philippensis', 'papaya carica', 'euphorbia atoto', 'tinospora smilacina', 'imperata cylindrica', 'albizia lebbeck', 'aleurites moluccana', 'azadirachta indica', 'mangifera indica', 'leea indica', 'nauclea orientalis', 'citrus hystrix', 'pterocarpus indicus', 'cocos nucifera', 'drynaria quercifolia']"
8430,10.1186/1746-4269-2-54,"Traditional management of ear, nose and throat (ENT) diseases in Central Kenya",10.1186%2F1746-4269-2-54,63,"['bidens pilosa', 'sporobolus pyramidalis', 'kyllinga bulbosa', 'carissa edulis', 'eucalyptus saligna', 'maytenus senegalensis', 'withania somnifera', 'clematis brachiata', 'digitalis purpurea', 'physalis peruviana', 'ocimum basilicum', 'ocimum gratissimum', 'dalbergia lactea', 'colocasia antiquorum', 'euphorbia joyae', 'kigelia africana', 'vernonia lasiopus', 'datura stramonium', 'acacia mellifera', 'citrus aurantiifolia', 'momordica foetida', 'asparagus setaceus', 'cussonia holstii', 'osyris lanceolata', 'rhamnus prinoides', 'pterolobium stellatum', 'melia azadirachta', 'rubus apetalus', 'warburgia ugandensis', 'lantana camara', 'sarcostemma viminale', 'toddalia asiatica', 'aspilia pluriseta', 'mangifera indica', 'tithonia diversifolia', 'psidium guajava', 'ricinus communis', 'ajuga remota', 'senna didymobotrya', 'juniperus procera', 'clutia abyssinica', 'solanum anguivi', 'pistacia aethiopica', 'zehneria scabra', 'ocotea usambarensis', 'cuscuta kilimanjari', 'crotalaria agatiflora', 'combretum collinum', 'coffea arabica', 'solanum aculeastrum', 'plectranthus comosus', 'erythrina abyssinica', 'tagetes minuta', 'urtica massaica', 'taxus brevifolia', 'sonchus oleraceus', 'caesalpinia volkensii', 'lactuca inermis', 'croton megalocarpus', 'piper capense', 'schkuhria pinnata', 'lippia javanica', 'englerina woodfordioides']"
9239,10.1155/2012/959285,Distribution and Transmission of Medicinal Plant Knowledge in the Andean Highlands: A Case Study from Peru and Bolivia,10.1155%2F2012%2F959285,53,"['lepechinia meyenii', 'muehlenbeckia volcanica', 'sambucus nigra', 'berberis carinata', 'eucalyptus globulus', 'mentha viridis', 'gnaphalium dombeyanum', 'tripodanthus acutifolius', 'foeniculum vulgare', 'urtica urens', 'prunus persica', 'colletia spinosissima', 'plantago major', 'senna birostris', 'petroselinum sativum', 'pimpinella anisum', 'sonchus oleraceus', 'matricaria recutita', 'taraxacum officinale', 'geranium filipes', 'grindelia boliviana', 'acanthoxanthium ambrosioides', 'leucheria daucifolia', 'cestrum parqui', 'senecio tephrosioides', 'croton lechleri', 'malva parviflora', 'baccharis dracunculifolia', 'schinus molle', 'clinopodium bolivianum', 'barnadesia horrida', 'dasyphyllum leiocephalum', 'calceolaria engleriana', 'artemisia absinthium', 'verbena hispida', 'matricaria chamomilla', 'margyricarpus pinnatus', 'chenopodium ambrosioides', 'citrus aurantiifolia', 'mimulus glabratus', 'austrocylindropuntia subulata', 'ageratina sternbergiana', 'erythroxylum coca', 'ullucus tuberosus', 'lepechinia graveolens', 'hordeum vulgare', 'xenophyllum poposum', 'oenothera multicaulis', 'brassica rapa', 'melissa officinalis', 'opuntia floccosa', 'minthostachys ovata', 'pluchea fastigiata']"
