,InChIKey_simp,extracted_organism_name,extracted_compound_name,refDOI,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name,pairs
0,MQYXUWHLBZFQQO,curatella americana,lupeol,10.29327_269504.3.1-28,321019-2,Curatella americana,Curatella americana L.,Dilleniaceae,Species,Curatella americana,Curatella americana L.,321019-2,Curatella,2748841,Accepted,direct_wcvp_unique,Curatella americana,Curatella americanaMQYXUWHLBZFQQO
3,AXNVHPCVMSNXNP,montrichardia arborescens l. schott,saponins,10.9734_jocamr_2019_v8i430130,87563-1,Montrichardia arborescens,Montrichardia arborescens (L.) Schott,Araceae,Species,Montrichardia arborescens,Montrichardia arborescens (L.) Schott,87563-1,Montrichardia,129694,Accepted,direct_wcvp_unique,Montrichardia arborescens,Montrichardia arborescensAXNVHPCVMSNXNP
4,PJVWKTKQMONHTI,prosthechea cochleata,coumarins,10.25081_jmhe.2020.v6.6431,1001247-1,Prosthechea cochleata,Prosthechea cochleata (L.) W.E.Higgins,Orchidaceae,Species,Prosthechea cochleata,Prosthechea cochleata (L.) W.E.Higgins,1001247-1,Prosthechea,165818,Accepted,direct_wcvp_unique,Prosthechea cochleata,Prosthechea cochleataPJVWKTKQMONHTI
5,DNVZSDMHLPWULM,prosthechea cochleata,steroids,10.25081_jmhe.2020.v6.6431,1001247-1,Prosthechea cochleata,Prosthechea cochleata (L.) W.E.Higgins,Orchidaceae,Species,Prosthechea cochleata,Prosthechea cochleata (L.) W.E.Higgins,1001247-1,Prosthechea,165818,Accepted,direct_wcvp_unique,Prosthechea cochleata,Prosthechea cochleataDNVZSDMHLPWULM
6,XBZYWSMVVKYHQN,prosthechea cochleata,triterpenes,10.25081_jmhe.2020.v6.6431,1001247-1,Prosthechea cochleata,Prosthechea cochleata (L.) W.E.Higgins,Orchidaceae,Species,Prosthechea cochleata,Prosthechea cochleata (L.) W.E.Higgins,1001247-1,Prosthechea,165818,Accepted,direct_wcvp_unique,Prosthechea cochleata,Prosthechea cochleataXBZYWSMVVKYHQN
7,AXNVHPCVMSNXNP,prosthechea cochleata,saponins,10.25081_jmhe.2020.v6.6431,1001247-1,Prosthechea cochleata,Prosthechea cochleata (L.) W.E.Higgins,Orchidaceae,Species,Prosthechea cochleata,Prosthechea cochleata (L.) W.E.Higgins,1001247-1,Prosthechea,165818,Accepted,direct_wcvp_unique,Prosthechea cochleata,Prosthechea cochleataAXNVHPCVMSNXNP
8,PJVWKTKQMONHTI,prosthechea livida,coumarins,10.25081_jmhe.2020.v6.6431,1001272-1,Prosthechea livida,Prosthechea livida (Lindl.) W.E.Higgins,Orchidaceae,Species,Prosthechea livida,Prosthechea livida (Lindl.) W.E.Higgins,1001272-1,Prosthechea,165852,Accepted,direct_wcvp_unique,Prosthechea livida,Prosthechea lividaPJVWKTKQMONHTI
9,DNVZSDMHLPWULM,prosthechea livida,steroids,10.25081_jmhe.2020.v6.6431,1001272-1,Prosthechea livida,Prosthechea livida (Lindl.) W.E.Higgins,Orchidaceae,Species,Prosthechea livida,Prosthechea livida (Lindl.) W.E.Higgins,1001272-1,Prosthechea,165852,Accepted,direct_wcvp_unique,Prosthechea livida,Prosthechea lividaDNVZSDMHLPWULM
10,XBZYWSMVVKYHQN,prosthechea livida,triterpenes,10.25081_jmhe.2020.v6.6431,1001272-1,Prosthechea livida,Prosthechea livida (Lindl.) W.E.Higgins,Orchidaceae,Species,Prosthechea livida,Prosthechea livida (Lindl.) W.E.Higgins,1001272-1,Prosthechea,165852,Accepted,direct_wcvp_unique,Prosthechea livida,Prosthechea lividaXBZYWSMVVKYHQN
11,AXNVHPCVMSNXNP,prosthechea livida,saponins,10.25081_jmhe.2020.v6.6431,1001272-1,Prosthechea livida,Prosthechea livida (Lindl.) W.E.Higgins,Orchidaceae,Species,Prosthechea livida,Prosthechea livida (Lindl.) W.E.Higgins,1001272-1,Prosthechea,165852,Accepted,direct_wcvp_unique,Prosthechea livida,Prosthechea lividaAXNVHPCVMSNXNP
