name,compound,doi
wedelia paludosa d. c,3β-o-tetradecanoylolean-12-en-28-oic acid,10.1590/S0100-40422001000100006
wedelia paludosa d. c,3β-o-hexadecanoylolean-12-en-28-oic acid,10.1590/S0100-40422001000100006
wedelia paludosa d. c,3β-o-β-d-glycopyranosylstigmasterol,10.1590/S0100-40422001000100006
wedelia paludosa d. c,3β-o-β-d-glycopyranosyl sitosterol,10.1590/S0100-40422001000100006
wedelia paludosa d. c,3β-o-pentadecanoylolean-12-en-28-oic acid,10.1590/S0100-40422001000100006
wedelia paludosa d. c,stigmasterol,10.1590/S0100-40422001000100006
wedelia paludosa d. c,ent-kaur-16-en-19-oic acid,10.1590/S0100-40422001000100006
wedelia paludosa d. c,"ent-kaur-9(11),16-dien-19-oic acid",10.1590/S0100-40422001000100006
atractylodes ovata de candolle,β-eudesmol,10.1093/ECAM/NEQ006
atractylodes ovata de candolle,linoleic acid,10.1093/ECAM/NEQ006
atractylodes ovata de candolle,atractylon,10.1093/ECAM/NEQ006
atractylodes ovata de candolle,atractylenolide ii,10.1093/ECAM/NEQ006
atractylodes ovata de candolle,hinesol,10.1093/ECAM/NEQ006
atractylodes ovata de candolle,β-caryophyllene,10.1093/ECAM/NEQ006
atractylodes ovata de candolle,palmitic acid,10.1093/ECAM/NEQ006
atractylodes ovata de candolle,β-selinene,10.1093/ECAM/NEQ006
atractylodes ovata de candolle,γ-selinene,10.1093/ECAM/NEQ006
atractylodes ovata de candolle,atractylenolide iii,10.1093/ECAM/NEQ006
bagassa guianensis aubl,katuranin,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,arachidin 2,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,arachidin 4,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,(-)-epialboctalol,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,alboctalol,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,moracin m,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,6-o-methyl-moracin n,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,moracin p,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,6-o-methyl-moracin m,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,steppogenin,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,dihydromorin,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,artogomezianol,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,trans-resveratrol,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,trans-oxyresveratrol,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,moracin z,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,moracin n,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,β-sitosterol,10.1016/J.PHYTOCHEM.2010.06.020
bagassa guianensis aubl,resorcinol,10.1016/J.PHYTOCHEM.2010.06.020
colubrina greggii var. yucatanensis,discarine b,10.1590/S0103-50532011000700013
colubrina greggii var. yucatanensis,betulinic acid,10.1590/S0103-50532011000700013
colubrina greggii var. yucatanensis,cenothenic acid,10.1590/S0103-50532011000700013
colubrina greggii var. yucatanensis,chrysophanein,10.1590/S0103-50532011000700013
colubrina greggii var. yucatanensis,ceanothic acid,10.1590/S0103-50532011000700013
colubrina greggii var. yucatanensis,3-o-acetyl ceanothic acid,10.1590/S0103-50532011000700013
elaeodendron croceum,naringenin,10.1080/14786410903052399
elaeodendron croceum,tingenine b,10.1080/14786410903052399
elaeodendron croceum,11α-hydroxy-β-amyrin,10.1080/14786410903052399
elaeodendron croceum,tingenone,10.1080/14786410903052399
elaeodendron croceum,20-hydroxy-20-epi-tingenone,10.1080/14786410903052399
forsythia suspensa,syringic acid,10.1155/2014/304830
forsythia suspensa,vanillic acid,10.1155/2014/304830
forsythia suspensa,"labda-8(17),13e-dien-15,18-dioic acid 15-methyl ester",10.1155/2014/304830
forsythia suspensa,3β-acetoxy-20α-hydroxyursan-28-oic acid,10.1155/2014/304830
forsythia suspensa,benzoic acid,10.1155/2014/304830
forsythia suspensa,trans-ferulic acid,10.1155/2014/304830
forsythia suspensa,3β-hydroxyanticopalic acid,10.1155/2014/304830
forsythia suspensa,trans-coumaric acid,10.1155/2014/304830
forsythia suspensa,betulinic acid,10.1155/2014/304830
forsythia suspensa,taraxasterol acetate,10.1155/2014/304830
forsythia suspensa,p-hydroxyphenylacetic acid,10.1155/2014/304830
forsythia suspensa,β-sitosterol,10.1155/2014/304830
forsythia suspensa,hydroxytyrosol,10.1155/2014/304830
forsythia suspensa,"3β-acetyl-20,25-epoxy-dammarane-24α-ol",10.1155/2014/304830
forsythia suspensa,agatholic acid,10.1155/2014/304830
forsythia suspensa,ψ-taraxasterol,10.1155/2014/304830
forsythia suspensa,"3,4-dimethoxybenzoic acid",10.1155/2014/304830
forsythia suspensa,β-amyrin acetate,10.1155/2014/304830
forsythia suspensa,phillyrin,10.1155/2014/304830
forsythia suspensa,adoxosidic acid,10.1155/2014/304830
forsythia suspensa,protocatechualdehyde,10.1155/2014/304830
forsythia suspensa,p-hydroxybenzoic acid,10.1155/2014/304830
forsythia suspensa,quercetin,10.1155/2014/304830
forsythia suspensa,caffeic acid,10.1155/2014/304830
forsythia suspensa,esculetin,10.1155/2014/304830
forsythia suspensa,acetyl oleanolic acid,10.1155/2014/304830
forsythia suspensa,"(6s,9r)-roseoside",10.1155/2014/304830
forsythia suspensa,p-tyrosol,10.1155/2014/304830
forsythia suspensa,stigmasterol,10.1155/2014/304830
forsythia suspensa,forsythoside d,10.1155/2014/304830
forsythia suspensa,2-furancarboxylic acid,10.1155/2014/304830
forsythia suspensa,salidroside,10.1155/2014/304830
forsythia suspensa,methyl-α-d-glucopyranoside,10.1155/2014/304830
forsythia suspensa,p-hydroxyphenylacetic acid methyl ester,10.1155/2014/304830
ginkgo biloba,"30-methoxy-3-(6-o-α-l-rhamnopyranosyl-β-d-glucopyranosyloxy)-40,5,7-trihydroxyflavone [isorhamnetin 3-o-rutinoside]",10.1007/S11306-009-0195-X
ginkgo biloba,"3-(2-o-[6-o-(p-coumaroyl)-β-d-glucopyranosyl]-α-l-rhamnopyranosyloxy)-30,40,5,7-tetrahydroxyflavone",10.1007/S11306-009-0195-X
ginkgo biloba,"3-(6-o-α-l-rhamnopyranosyl-β-d-glucopyranosyloxy)-30,40,5,7-tetrahydroxyflavone [quercetin 3-o-rutinoside, rutin]",10.1007/S11306-009-0195-X
ginkgo biloba,ginkgolides j,10.1007/S11306-009-0195-X
ginkgo biloba,ginkgolides a,10.1007/S11306-009-0195-X
ginkgo biloba,shikimic acid,10.1007/S11306-009-0195-X
ginkgo biloba,"3-(6-o-α-l-rhamnopyranosyl-β-d-glucopyranosyloxy)-40,5,7-trihydroxyflavone [kaempferol 3-o-rutinoside]",10.1007/S11306-009-0195-X
ginkgo biloba,ginkgolides c,10.1007/S11306-009-0195-X
ginkgo biloba,"3-(2-o-β-d-glucopyranosyl-α-l-rhamnopyranosyloxy)-30,40,5,7-tetrahydroxyflavone",10.1007/S11306-009-0195-X
ginkgo biloba,bilobalide,10.1007/S11306-009-0195-X
ginkgo biloba,"30,40,5,7-tetrahydroxyflavonol [quercetin]",10.1007/S11306-009-0195-X
ginkgo biloba,"3-(2-o-β-d-glucopyranosyl-α-l-rhamnopyranosyloxy)-40,5,7-trihydroxyflavone",10.1007/S11306-009-0195-X
