,extracted_organism_name,extracted_compound_name,accepted_name,accepted_name_w_author,InChIKey_simp,refDOI,pairs
1,prunus africana,vanillin,Prunus africana,Prunus africana (Hook.f.) Kalkman,MWOOGOJBHIARFG,10.21010/ajtcam.v13i4.15,Prunus africana_MWOOGOJBHIARFG
2,prunus africana,stigmasterol,Prunus africana,Prunus africana (Hook.f.) Kalkman,HCXVJBMSMIARIN,10.21010/ajtcam.v13i4.15,Prunus africana_HCXVJBMSMIARIN
4,prunus africana,α-tocopherol,Prunus africana,Prunus africana (Hook.f.) Kalkman,GVJHHUAWPYXKBD,10.21010/ajtcam.v13i4.15,Prunus africana_GVJHHUAWPYXKBD
5,prunus africana,α-amyrin,Prunus africana,Prunus africana (Hook.f.) Kalkman,FSLPMRQHCOLESF,10.21010/ajtcam.v13i4.15,Prunus africana_FSLPMRQHCOLESF
6,prunus africana,β-amyrin,Prunus africana,Prunus africana (Hook.f.) Kalkman,JFSHUTJDVKUMTJ,10.21010/ajtcam.v13i4.15,Prunus africana_JFSHUTJDVKUMTJ
7,prunus africana,squalene,Prunus africana,Prunus africana (Hook.f.) Kalkman,YYGNTYWPHWGJRM,10.21010/ajtcam.v13i4.15,Prunus africana_YYGNTYWPHWGJRM
8,prunus africana,phytol,Prunus africana,Prunus africana (Hook.f.) Kalkman,BOTWFXYSPFMFNR,10.21010/ajtcam.v13i4.15,Prunus africana_BOTWFXYSPFMFNR
9,prunus africana,nicotinic acid,Prunus africana,Prunus africana (Hook.f.) Kalkman,PVNIIMVLHYAWGP,10.21010/ajtcam.v13i4.15,Prunus africana_PVNIIMVLHYAWGP
10,prunus africana,benzenedicarboxylic acid,Prunus africana,Prunus africana (Hook.f.) Kalkman,XNGIFLGASWRNHJ,10.21010/ajtcam.v13i4.15,Prunus africana_XNGIFLGASWRNHJ
11,centaurium,rutin,Centaurium,Centaurium Hill,IKGXIBQEEMLURG,10.1016/j.phytochem.2017.04.005,Centaurium_IKGXIBQEEMLURG
