,extracted_organism_name,extracted_compound_name,accepted_name,accepted_name_w_author,InChIKey_simp,refDOI
0,wedelia paludosa d. c,stigmasterol,Sphagneticola trilobata,Sphagneticola trilobata (L.) Pruski,HCXVJBMSMIARIN,10.1590/S0100-40422001000100006
1,wedelia paludosa d. c,ent-kaur-16-en-19-oic acid,Sphagneticola trilobata,Sphagneticola trilobata (L.) Pruski,NIKHGUQULKYIGE,10.1590/S0100-40422001000100006
2,atractylodes ovata de candolle,β-eudesmol,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,BOPIMTNSYWYZOC,10.1093/ECAM/NEQ006
3,atractylodes ovata de candolle,linoleic acid,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,OYHQOLUKZRVURQ,10.1093/ECAM/NEQ006
4,atractylodes ovata de candolle,atractylon,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,TYPSVDGIQAOBAD,10.1093/ECAM/NEQ006
5,atractylodes ovata de candolle,atractylenolide ii,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,OQYBLUDOOFOBPO,10.1093/ECAM/NEQ006
6,atractylodes ovata de candolle,hinesol,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,ICWHTQRTTHCUHW,10.1093/ECAM/NEQ006
7,atractylodes ovata de candolle,β-caryophyllene,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,NPNUFJAVOOONJE,10.1093/ECAM/NEQ006
8,atractylodes ovata de candolle,palmitic acid,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,IPCSVZSSVZVIGE,10.1093/ECAM/NEQ006
9,atractylodes ovata de candolle,β-selinene,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,YOVSPTNQHMDJAG,10.1093/ECAM/NEQ006
10,atractylodes ovata de candolle,γ-selinene,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,RMZHSBMIZBMVMN,10.1093/ECAM/NEQ006
11,atractylodes ovata de candolle,atractylenolide iii,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,FBMORZZOJSDNRQ,10.1093/ECAM/NEQ006
12,bagassa guianensis aubl,katuranin,Bagassa guianensis,Bagassa guianensis Aubl.,PADQINQHPQKXNL,10.1016/J.PHYTOCHEM.2010.06.020
13,bagassa guianensis aubl,arachidin 2,Bagassa guianensis,Bagassa guianensis Aubl.,WWFOQQIWOKJBSJ,10.1016/J.PHYTOCHEM.2010.06.020
14,bagassa guianensis aubl,alboctalol,Bagassa guianensis,Bagassa guianensis Aubl.,QQGGCAFWTCETPD,10.1016/J.PHYTOCHEM.2010.06.020
15,bagassa guianensis aubl,moracin m,Bagassa guianensis,Bagassa guianensis Aubl.,LHPRYOJTASOZGJ,10.1016/J.PHYTOCHEM.2010.06.020
16,bagassa guianensis aubl,moracin p,Bagassa guianensis,Bagassa guianensis Aubl.,QFUCSEIKNTUPPA,10.1016/J.PHYTOCHEM.2010.06.020
