,taxon_name,chemical_entity_name,chemical_entity_smiles,reference_doi
1,Vernonanthura patens,1 - bromo-octadecane,CCCCCCCCCCCCCCCCCCBr,10.5772/28961
2,Vernonanthura patens,2 - bromo dodecane,CCCCCCCCCCC(C)Br,10.5772/28961
3,Vernonanthura patens,squalene,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,10.5772/28961
6,Vernonanthura patens,"heptadecane, 3-methyl-",CCCCCCCCCCCCCCC(C)CC,10.5772/28961
7,Vernonanthura patens,hexadecane,CCCCCCCCCCCCCCCC,10.5772/28961
13,Vernonanthura patens,α-caryophyllene,C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C,10.5772/28961
16,Vernonanthura patens,nonadecane,CCCCCCCCCCCCCCCCCCC,10.5772/28961
17,Vernonanthura patens,hentriacontane,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,10.5772/28961
18,Vernonanthura patens,1-iodo-hexadecane,CCCCCCCCCCCCCCCCI,10.5772/28961
19,Vernonanthura patens,eicosane,CCCCCCCCCCCCCCCCCCCC,10.5772/28961
26,Vernonanthura patens,4-methyl-heptadecane,CCCCCCCCCCCCCC(C)CCC,10.5772/28961
27,Vernonanthura patens,"5,14-dibutyl-octadecane",CCCCC(CCCC)CCCCCCCCC(CCCC)CCCC,10.5772/28961
28,Vernonanthura patens,9-octyl-heptadecane,CCCCCCCCC(CCCCCCCC)CCCCCCCC,10.5772/28961
30,Vernonanthura patens,octadecane,CCCCCCCCCCCCCCCCCC,10.5772/28961
31,Vernonanthura patens,lupeol,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C,10.5772/28961
32,Vernonanthura patens,"2,6,11-trimethyl-dodecane",CC(C)CCCCC(C)CCCC(C)C,10.5772/28961
33,Vernonanthura patens,heptadecane,CCCCCCCCCCCCCCCCC,10.5772/28961
35,Montrichardia linifera,p-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,10.11144/javeriana.sc19-3.mlab
50,Pavonia malacophylla,kaempferol 3-o-β-d-glucopyranoside,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,10.21577/0100-4042.20250134
52,Pavonia malacophylla,"5,7-dihydroxy-3,8,4'-trimethoxyflavone",COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)OC)OC,10.21577/0100-4042.20250134
54,Pavonia malacophylla,pheophytin b,CCC\1=C2C=C3C(=C4C(=O)[C@@H](C(=C5[C@H]([C@@H](C(=CC6=NC(=CC(=N2)/C1=C/O)C(=C6C)C=C)N5)C)CCC(=O)OC/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C4=N3)C(=O)OC)C,10.21577/0100-4042.20250134
56,Pavonia malacophylla,methyl-4-hydroxycinnamate,COC(=O)C=CC1=CC=C(C=C1)O,10.21577/0100-4042.20250134
57,Pavonia malacophylla,"3,5,7,3',4'-pentahydroxyflavone",C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,10.21577/0100-4042.20250134
59,Pavonia malacophylla,lupeol,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C,10.21577/0100-4042.20250134
60,Pavonia malacophylla,pheophytin a,CCC1=C(C2=NC1=CC3=C(C4=C([C@@H](C(=C5[C@H]([C@@H](C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)OC/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C4=N3)C(=O)OC)O)C)C,10.21577/0100-4042.20250134
61,Pavonia malacophylla,"3,5,7,4'-tetrahydroxyflavone",C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,10.21577/0100-4042.20250134
62,Pavonia malacophylla,"5,8-dihydroxy-7,4'-dimethoxyflavone",COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)OC)O,10.21577/0100-4042.20250134
63,Pavonia malacophylla,α-amyrin,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C,10.21577/0100-4042.20250134
64,Pavonia malacophylla,decanol,CCCCCCCCCCO,10.21577/0100-4042.20250134
65,Pavonia malacophylla,β-amyrin,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C,10.21577/0100-4042.20250134
66,Pavonia malacophylla,β-sitosterol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,10.21577/0100-4042.20250134
84,Curatella americana,lupeol,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C,10.29327/269504.3.1-28
