,example_compound_name,InChIKey,InChIKey_simp,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family,refDOI,sanitised_dois
517568,stigmasterol 3-O-beta-D-glucoside,VWDLOXMZIGUBKM-AUGXRQBFSA-N,VWDLOXMZIGUBKM,Acanthochlamys bracteata,Acanthochlamys bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys bracteata,Velloziaceae,10.1002/CHIN.200549164,10.1002_CHIN.200549164
517544,amanin,QCZXQEYEVLCQHL-OEPUBGLGSA-N,QCZXQEYEVLCQHL,Acanthochlamys bracteata,Acanthochlamys bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys bracteata,Velloziaceae,10.1002/CHIN.200549164,10.1002_CHIN.200549164
517564,tormentic acid,OXVUXGFZHDKYLS-BLIWDXROSA-N,OXVUXGFZHDKYLS,Acanthochlamys bracteata,Acanthochlamys bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys bracteata,Velloziaceae,10.1002/CHIN.200549164,10.1002_CHIN.200549164
517557,Q125608000,OFILNAORONITPV-ZUROAWGWSA-N,OFILNAORONITPV,Acanthochlamys bracteata,Acanthochlamys bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys bracteata,Velloziaceae,10.1002/CHIN.200549164,10.1002_CHIN.200549164
517571,ε-amanitin,OFILNAORONITPV-UHFFFAOYSA-N,OFILNAORONITPV,Acanthochlamys bracteata,Acanthochlamys bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys bracteata,Velloziaceae,10.1002/CHIN.200549164,10.1002_CHIN.200549164
517597,stigmasterol,HCXVJBMSMIARIN-PHZDYDNGSA-N,HCXVJBMSMIARIN,Acanthochlamys bracteata,Acanthochlamys bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys bracteata,Velloziaceae,10.1002/CHIN.200549164,10.1002_CHIN.200549164
517539,palmitic acid,IPCSVZSSVZVIGE-UHFFFAOYSA-N,IPCSVZSSVZVIGE,Acanthochlamys bracteata,Acanthochlamys bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys bracteata,Velloziaceae,10.1002/CHIN.200549164,10.1002_CHIN.200549164
118825,pellitorine,MAGQQZHFHJDIRE-BNFZFUHLSA-N,MAGQQZHFHJDIRE,Achillea asiatica,Achillea asiatica,Achillea asiatica Serg.,Achillea asiatica,Asteraceae,10.3390/MOLECULES15042398,10.3390_MOLECULES15042398
123387,pellitorine,MAGQQZHFHJDIRE-BNFZFUHLSA-N,MAGQQZHFHJDIRE,Achillea formosa,Achillea formosa,Achillea formosa (Boiss.) Sch.Bip.,Achillea formosa,Asteraceae,10.3390/MOLECULES15042398,10.3390_MOLECULES15042398
139790,"N-Isobutyl-(2E,4E)-tetradecadienamide",AGJAUFUNZWHLKE-SQIWNDBBSA-N,AGJAUFUNZWHLKE,Leucocyclus formosus,Achillea formosa,Achillea formosa (Boiss.) Sch.Bip.,Achillea formosa,Asteraceae,10.3390/MOLECULES15042398,10.3390_MOLECULES15042398
140553,pellitorine,MAGQQZHFHJDIRE-BNFZFUHLSA-N,MAGQQZHFHJDIRE,Leucocyclus formosus,Achillea formosa,Achillea formosa (Boiss.) Sch.Bip.,Achillea formosa,Asteraceae,10.3390/MOLECULES15042398,10.3390_MOLECULES15042398
118727,pellitorine,MAGQQZHFHJDIRE-BNFZFUHLSA-N,MAGQQZHFHJDIRE,Achillea glaberrima,Achillea glaberrima,Achillea glaberrima Klokov,Achillea glaberrima,Asteraceae,10.3390/MOLECULES15042398,10.3390_MOLECULES15042398
121685,(+/-)-Fargesin,AWOGQCSIVCQXBT-LATRNWQMSA-N,AWOGQCSIVCQXBT,Achillea lingulata,Achillea lingulata,Achillea lingulata Waldst. & Kit.,Achillea lingulata,Asteraceae,10.2298/JSC0305277T,10.2298_JSC0305277T
125985,(+)-pinoresinol,HGXBRUKMWQGOIE-AFHBHXEDSA-N,HGXBRUKMWQGOIE,Achillea lingulata,Achillea lingulata,Achillea lingulata Waldst. & Kit.,Achillea lingulata,Asteraceae,10.2298/JSC0305277T,10.2298_JSC0305277T
125870,Sesartemin,DHWUVPPRBIJJKS-VUEDXXQZSA-N,DHWUVPPRBIJJKS,Achillea lingulata,Achillea lingulata,Achillea lingulata Waldst. & Kit.,Achillea lingulata,Asteraceae,10.2298/JSC0305277T,10.2298_JSC0305277T
125995,Kobusin,AWOGQCSIVCQXBT-VUEDXXQZSA-N,AWOGQCSIVCQXBT,Achillea lingulata,Achillea lingulata,Achillea lingulata Waldst. & Kit.,Achillea lingulata,Asteraceae,10.2298/JSC0305277T,10.2298_JSC0305277T
121599,(-)-Epieudesmin,PEUUVVGQIVMSAW-AJAKECSLSA-N,PEUUVVGQIVMSAW,Achillea lingulata,Achillea lingulata,Achillea lingulata Waldst. & Kit.,Achillea lingulata,Asteraceae,10.2298/JSC0305277T,10.2298_JSC0305277T
83704,"N-Isobutyl-(2E,4E)-tetradecadienamide",AGJAUFUNZWHLKE-SQIWNDBBSA-N,AGJAUFUNZWHLKE,Otanthus maritimus,Achillea maritima,Achillea maritima (L.) Ehrend. & Y.P.Guo,Achillea maritima,Asteraceae,10.3390/MOLECULES15042398,10.3390_MOLECULES15042398
431326,Bullatine B,XRARAKHBJHWUHW-QVUBZLTISA-N,XRARAKHBJHWUHW,Aconitum flavum,Aconitum flavum,Aconitum flavum Hand.-Mazz.,Aconitum flavum,Ranunculaceae,10.1107/S1600536811015170,10.1107_S1600536811015170
432217,"[8-Acetyloxy-11-ethyl-2,5,7,14-tetrahydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate",GMSKTJVHWUUOMY-UHFFFAOYSA-N,GMSKTJVHWUUOMY,Aconitum karakolicum,Aconitum karakolicum,Aconitum karakolicum Rapaics,Aconitum karakolicum,Ranunculaceae,10.1107/S1600536809021436,10.1107_S1600536809021436
432793,aconifine,GMSKTJVHWUUOMY-UHBPHNCFSA-N,GMSKTJVHWUUOMY,Aconitum karakolicum,Aconitum karakolicum,Aconitum karakolicum Rapaics,Aconitum karakolicum,Ranunculaceae,10.1107/S1600536809021436,10.1107_S1600536809021436
434112,aconifine,GMSKTJVHWUUOMY-UHBPHNCFSA-N,GMSKTJVHWUUOMY,Aconitum nagarum,Aconitum nagarum,Aconitum nagarum Stapf,Aconitum nagarum,Ranunculaceae,10.1107/S1600536809021436,10.1107_S1600536809021436
2621,"1,2,4-trimethoxy-5-(prop-1-en-1-yl)benzene",RKFAZBXYICVSKP-UHFFFAOYSA-N,RKFAZBXYICVSKP,Acorus calamus,Acorus calamus,Acorus calamus L.,Acorus calamus,Acoraceae,10.1186/1472-6882-13-236,10.1186_1472-6882-13-236
428945,cimiracemoside h,CXMFZKKIWJFZLS-SZNLZWPUSA-N,CXMFZKKIWJFZLS,Actaea racemosa,Actaea racemosa,Actaea racemosa L.,Actaea racemosa,Ranunculaceae,10.1093/ECAM/NEH086,10.1093_ECAM_NEH086
429049,actaeaepoxide-3-O-β-D-xylopyranoside,CNSJLMJKDVWQGM-VYBDBSRDSA-N,CNSJLMJKDVWQGM,Actaea racemosa,Actaea racemosa,Actaea racemosa L.,Actaea racemosa,Ranunculaceae,10.1093/ECAM/NEH086,10.1093_ECAM_NEH086
428900,actein,NEWMWGLPJQHSSQ-PSDKAYTQSA-N,NEWMWGLPJQHSSQ,Actaea racemosa,Actaea racemosa,Actaea racemosa L.,Actaea racemosa,Ranunculaceae,10.1186/1471-2210-7-11,10.1186_1471-2210-7-11
428382,"(2S,3R,4S,5R)-2-[(1S,1'S,4'R,5R,5'R,6'R,10'S,12'S,13'S,16'R,21'R)-4',5,6',12',17',17'-hexamethyl-3,6,9'-trioxaspiro[bicyclo[3.1.0]hexane-2,8'-hexacyclo[11.9.0.0¹,²¹.0⁴,¹².0⁵,¹⁰.0¹⁶,²¹]docosan]-4-oloxy]oxane-3,4,5-triol",RKNTVINERUAWJC-LXVMFROXSA-N,RKNTVINERUAWJC,Actaea racemosa,Actaea racemosa,Actaea racemosa L.,Actaea racemosa,Ranunculaceae,10.1186/1471-2210-7-11,10.1186_1471-2210-7-11
3093,vitamin C,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,CIWBSHSKHKDKBQ,Actinidia chinensis,Actinidia chinensis,Actinidia chinensis Planch.,Actinidia chinensis,Actinidiaceae,10.1016/0308-8146(95)90791-5,10.1016_0308-8146(95)90791-5
3241,(+)-pinoresinol,HGXBRUKMWQGOIE-AFHBHXEDSA-N,HGXBRUKMWQGOIE,Actinidia chinensis,Actinidia chinensis,Actinidia chinensis Planch.,Actinidia chinensis,Actinidiaceae,10.1079/BJN20051371,10.1079_BJN20051371
3256,lariciresinol,MHXCIKYXNYCMHY-AUSJPIAWSA-N,MHXCIKYXNYCMHY,Actinidia chinensis,Actinidia chinensis,Actinidia chinensis Planch.,Actinidia chinensis,Actinidiaceae,10.1079/BJN20051371,10.1079_BJN20051371
3197,matairesinol,MATGKVZWFZHCLI-LSDHHAIUSA-N,MATGKVZWFZHCLI,Actinidia chinensis,Actinidia chinensis,Actinidia chinensis Planch.,Actinidia chinensis,Actinidiaceae,10.1079/BJN20051371,10.1079_BJN20051371
3222,secoisolariciresinol,PUETUDUXMCLALY-HOTGVXAUSA-N,PUETUDUXMCLALY,Actinidia chinensis,Actinidia chinensis,Actinidia chinensis Planch.,Actinidia chinensis,Actinidiaceae,10.1079/BJN20051371,10.1079_BJN20051371
428791,L-arabinitol,HEBKCHPVOIAQTA-IMJSIDKUSA-N,HEBKCHPVOIAQTA,Adonis vernalis,Adonis vernalis,Adonis vernalis L.,Adonis vernalis,Ranunculaceae,10.1104/PP.78.4.758,10.1104_PP.78.4.758
429213,"pentane-1,2,3,4,5-pentol",HEBKCHPVOIAQTA-UHFFFAOYSA-N,HEBKCHPVOIAQTA,Adonis vernalis,Adonis vernalis,Adonis vernalis L.,Adonis vernalis,Ranunculaceae,10.1104/PP.78.4.758,10.1104_PP.78.4.758
65343,"(10R)-10,18-dihydroxyoctadecanoic acid",YFRDEHYAUAROBO-QGZVFWFLSA-N,YFRDEHYAUAROBO,Agave americana,Agave americana,Agave americana L.,Agave americana,Asparagaceae,10.1042/BJ0630168,10.1042_BJ0630168
65228,"(10R)-10,16-dihydroxyhexadecanoic acid",VJZBXAQGWLMYMS-OAHLLOKOSA-N,VJZBXAQGWLMYMS,Agave americana,Agave americana,Agave americana L.,Agave americana,Asparagaceae,10.1042/BJ0630168,10.1042_BJ0630168
169160,ent-kaurene,ONVABDHFQKWOSV-HPUSYDDDSA-N,ONVABDHFQKWOSV,Agrostemma githago,Agrostemma githago,Agrostemma githago L.,Agrostemma githago,Caryophyllaceae,10.1104/PP.101.1.25,10.1104_PP.101.1.25
247595,albiproflavone,VQXHHGNBAPAJMQ-UHFFFAOYSA-N,VQXHHGNBAPAJMQ,Albizia procera,Albizia procera,Albizia procera (Roxb.) Benth.,Albizia procera,Fabaceae,10.4314/AJTCAM.V9I1.8,10.4314_AJTCAM.V9I1.8
213898,28-Oxo-D:A-friedooleanan-3-one,ONRNCDHSZVITNY-TWWFCBCGSA-N,ONRNCDHSZVITNY,Alchornea cordifolia,Alchornea cordifolia,Alchornea cordifolia (Schumach. & Thonn.) Müll.Arg.,Alchornea cordifolia,Euphorbiaceae,10.1016/J.JEP.2015.12.043,10.1016_J.JEP.2015.12.043
215972,swertisin,ABRULANJVVJLFI-DGHBBABESA-N,ABRULANJVVJLFI,Aleurites moluccanus,Aleurites moluccanus,Aleurites moluccanus (L.) Willd.,Aleurites moluccanus,Euphorbiaceae,10.1155/2011/179890,10.1155_2011_179890
454611,"urs-12-ene-3β,28-diol",XUARCIYIVXVTAE-HGBZRQGGSA-N,XUARCIYIVXVTAE,Alibertia edulis,Alibertia edulis,Alibertia edulis (Rich.) A.Rich. ex DC.,Alibertia edulis,Rubiaceae,10.1590/S0100-40422003000500003,10.1590_S0100-40422003000500003
455510,uvaol,XUARCIYIVXVTAE-ZAPOICBTSA-N,XUARCIYIVXVTAE,Alibertia edulis,Alibertia edulis,Alibertia edulis (Rich.) A.Rich. ex DC.,Alibertia edulis,Rubiaceae,10.1590/S0100-40422003000500003,10.1590_S0100-40422003000500003
455523,erythrodiol,PSZDOEIIIJFCFE-OSQDELBUSA-N,PSZDOEIIIJFCFE,Alibertia edulis,Alibertia edulis,Alibertia edulis (Rich.) A.Rich. ex DC.,Alibertia edulis,Rubiaceae,10.1590/S0100-40422003000500003,10.1590_S0100-40422003000500003
503865,ombuin,BWORNNDZQGOKBY-UHFFFAOYSA-N,BWORNNDZQGOKBY,Alkekengi officinarum var. franchetii,Alkekengi officinarum var. franchetii,Alkekengi officinarum var. franchetii (Mast.) R.J.Wang,Alkekengi officinarum,Solanaceae,10.1186/1476-511X-11-38,10.1186_1476-511X-11-38
458,"(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(1R)-4-hydroxy-2,6,6-trimethylcyclohex-2-en-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol",KBPHJBAIARWVSC-RTIVXWJOSA-N,KBPHJBAIARWVSC,Allium,Allium,Allium L.,,Amaryllidaceae,10.3390/NU5041169,10.3390_NU5041169
8610,kaempferol,IYRMWMYZSQPJKC-UHFFFAOYSA-N,IYRMWMYZSQPJKC,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
8563,"3,4-dimethylthiophene",GPSFYJDZKSRMKZ-UHFFFAOYSA-N,GPSFYJDZKSRMKZ,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
8613,gallic acid,LNTHITQWFMADLM-UHFFFAOYSA-N,LNTHITQWFMADLM,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
8567,"1,2,4-trithiolane",QHGFEUAAQKJXDI-UHFFFAOYSA-N,QHGFEUAAQKJXDI,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
8507,allyl methyl trisulfide,JGMPRNFEEAJLAJ-UHFFFAOYSA-N,JGMPRNFEEAJLAJ,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
8511,2-acetylpyrrole,IGJQUJNPMOYEJY-UHFFFAOYSA-N,IGJQUJNPMOYEJY,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
8525,"1,2-cyclooctanedione",XZDMGEBEHZDGES-UHFFFAOYSA-N,XZDMGEBEHZDGES,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
8500,taxifolin 7-glucoside,BJAHHJOBSKZTFE-JUIPTLLLSA-N,BJAHHJOBSKZTFE,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1021/JF048404O,10.1021_JF048404O
8441,delphinidin 3-O-glucoside cation,XENHPQQLDPAYIJ-PEVLUNPASA-O,XENHPQQLDPAYIJ,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.11603/MCCH.2410-681X.2018.V0.I1.8840,10.11603_MCCH.2410-681X.2018.V0.I1.8840
8455,allyl methyl disulfide,XNZOTQPMYMCTBZ-UHFFFAOYSA-N,XNZOTQPMYMCTBZ,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
7739,"(2R,3R,4R,5R,6S)-2-[(2R)-4-[(1S,2S,4S,6S,7S,8R,9S,12S,13R,14R,16R)-6,16-dihydroxy-7,9,13-trimethyl-14-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxy-5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-en-6-yl]-2-methylbutoxy]-6-methyloxane-3,4,5-triol",DUJRFLRNALOUEO-PTBNUOOGSA-N,DUJRFLRNALOUEO,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1021/JF048404O,10.1021_JF048404O
8543,furfuryl alcohol,XPFVYQJUAUNWIW-UHFFFAOYSA-N,XPFVYQJUAUNWIW,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
7172,Quercetin-4'-o-glucoside,OIUBYZLTFSLSBY-UHFFFAOYSA-N,OIUBYZLTFSLSBY,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1021/JF048404O,10.1021_JF048404O
7152,Q105283541,VBXHRHABBLLODX-YDUGXYAJSA-N,VBXHRHABBLLODX,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1021/JF048404O,10.1021_JF048404O
7380,Dipropyl disulfide,ALVPFGSHPUPROW-UHFFFAOYSA-N,ALVPFGSHPUPROW,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
7754,"(2S,3R,4S,5S,6S)-2-[7-hydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromenylium-5-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",CILLXFBAACIQNS-SSGBECSUSA-O,CILLXFBAACIQNS,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.11603/MCCH.2410-681X.2018.V0.I1.8840,10.11603_MCCH.2410-681X.2018.V0.I1.8840
11734,dipropyl trisulfide,GAZXPZNJTZIGBO-UHFFFAOYSA-N,GAZXPZNJTZIGBO,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
7355,amyl methyl disulfide,VDJXDNLYBDHPHP-UHFFFAOYSA-N,VDJXDNLYBDHPHP,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
8762,(+)-taxifolin,CXQWRCVTCMQVQX-LSDHHAIUSA-N,CXQWRCVTCMQVQX,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1021/JF048404O,10.1021_JF048404O
11703,methyl propyl trisulfide,ZOYASYRPGHCQHW-UHFFFAOYSA-N,ZOYASYRPGHCQHW,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
7315,phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,COLNVLDHVKWLRT,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1021/JF048404O,10.1021_JF048404O
11767,methyl propenyl disulfide,FUDUFCLRGSEHAJ-ONEGZZNKSA-N,FUDUFCLRGSEHAJ,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
8629,quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,REFJWTPEDVJJIY,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1021/JF048404O,10.1021_JF048404O
8725,phenoxyethanol,QCDWFXQBSFUVSP-UHFFFAOYSA-N,QCDWFXQBSFUVSP,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
11213,"4,7-Dimethylundecane",IEVWHTVOIZEXCC-UHFFFAOYSA-N,IEVWHTVOIZEXCC,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
11214,"4,6-diethyl-1,2,3,5-tetrathiane",SBTJQRLWWVYRND-UHFFFAOYSA-N,SBTJQRLWWVYRND,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
7940,Q105159162,LXYJZECGEIAZOD-LNMXVKRYSA-N,LXYJZECGEIAZOD,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1021/JF048404O,10.1021_JF048404O
11238,"3,5-diethyl-1,2,4-trithiolane",WQXXXHMEBYGSBG-UHFFFAOYSA-N,WQXXXHMEBYGSBG,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
11207,"3(2H)-Furanone, 2-hexyl-5-methyl-",AAUWBAWSKVOBFL-UHFFFAOYSA-N,AAUWBAWSKVOBFL,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
7826,1-(methyldisulfanyl)prop-1-ene,FUDUFCLRGSEHAJ-UHFFFAOYSA-N,FUDUFCLRGSEHAJ,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
7109,"(2S,3S,4R,5S,6R)-2-[5,7-dihydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)chromenylium-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",PXUQTDZNOHRWLI-JJYSZZJESA-O,PXUQTDZNOHRWLI,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.11603/MCCH.2410-681X.2018.V0.I1.8840,10.11603_MCCH.2410-681X.2018.V0.I1.8840
11163,dimethyl sulfide,QMMFVYPAHWMCMS-UHFFFAOYSA-N,QMMFVYPAHWMCMS,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
8363,5-Methylfurfural,OUDFNZMQXZILJD-UHFFFAOYSA-N,OUDFNZMQXZILJD,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
11121,(E)-chlorogenic acid,CWVRJTMFETXNAD-JUHZACGLSA-N,CWVRJTMFETXNAD,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
11254,"Thiirane, 2-methyl-",MBNVSWHUJDDZRH-UHFFFAOYSA-N,MBNVSWHUJDDZRH,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
11132,5-Methylthiazole,RLYUNPNLXMSXAX-UHFFFAOYSA-N,RLYUNPNLXMSXAX,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
11157,Dimethyl tetrasulphide,NPNIZCVKXVRCHF-UHFFFAOYSA-N,NPNIZCVKXVRCHF,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
7808,1-propenyl propyl disulfide,AAPBYIVJOWCMGH-UHFFFAOYSA-N,AAPBYIVJOWCMGH,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1155/2017/6873651,10.1155_2017_6873651
8338,2-hydroxyethyl disulfide,KYNFOMQIXZUKRK-UHFFFAOYSA-N,KYNFOMQIXZUKRK,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.3390/MOLECULES24050928,10.3390_MOLECULES24050928
7032,Q105175211,MYVJSVSGFJDUAQ-UIPFWQEXSA-N,MYVJSVSGFJDUAQ,Allium cepa,Allium cepa,Allium cepa L.,Allium cepa,Amaryllidaceae,10.1021/JF048404O,10.1021_JF048404O
