name,compound,doi
Arabidopsis thaliana,"[[3-(3,4-Dimethoxyphenyl)allyl]-(4-fluorobenzyl)amino]acetic acid methyl ester",10.3389/FPLS.2012.00283
Aspilia paludosa,"(1S,4S,5R,9R)-5,9-dimethyl-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadec-10-ene-5-carboxylic acid",10.1590/S0100-40422001000100006
Aspilia paludosa,"(5R,9S,13S)-5,9-dimethyl-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylic acid",10.1590/S0100-40422001000100006
Aspilia paludosa,stigmasterol,10.1590/S0100-40422001000100006
Aspilia paludosa,sitogluside,10.1590/S0100-40422001000100006
Aspilia paludosa,stigmasterol 3-O-beta-D-glucoside,10.1590/S0100-40422001000100006
Sphagneticola trilobata,"(5R,9S,13S)-5,9-dimethyl-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylic acid",10.1590/S0100-40422001000100006
Sphagneticola trilobata,"(1S,4S,5R,9R)-5,9-dimethyl-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadec-10-ene-5-carboxylic acid",10.1590/S0100-40422001000100006
Sphagneticola trilobata,stigmasterol 3-O-beta-D-glucoside,10.1590/S0100-40422001000100006
Sphagneticola trilobata,sitogluside,10.1590/S0100-40422001000100006
Sphagneticola trilobata,stigmasterol,10.1590/S0100-40422001000100006
Atractylodes macrocephala,Hinesol,10.1093/ECAM/NEQ006
Bagassa guianensis,4-Prenylresveratrol,10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,"(2S)-5,7,2',4'-tetrahydroxyflavanone",10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,"5-[2-(4-Hydroxyphenyl)ethenyl]-2-(3-methylbut-2-enyl)benzene-1,3-diol",10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,"4-[(1S)-1-(2,4-dihydroxyphenyl)-2-(3,5-dihydroxyphenyl)ethyl]-6-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]benzene-1,3-diol",10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,aromadendrin,10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,veraphenol,10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,"(6S,7R,8R)-6,8-bis(2,4-dihydroxyphenyl)-7-(3,5-dihydroxyphenyl)-5,6,7,8-tetrahydronaphthalene-1,3-diol",10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,resorcin,10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,"(2S)-2alpha,4alpha-Bis(2,4-dihydroxyphenyl)-3alpha-(3,5-dihydroxyphenyl)tetralin-5,7-diol",10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,"2-(3-Hydroxy-3-methylbutyl)-5-[2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,EZ-resveratrol,10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,"5-[2-(2,4-dihydroxyphenyl)ethenyl]benzene-1,3-diol",10.1016/J.PHYTOCHEM.2010.06.020
Bagassa guianensis,"5-(6-methoxy-1-benzofuran-2-yl)benzene-1,3-diol",10.1016/J.PHYTOCHEM.2010.06.020
Colubrina greggii,"(2S,3R)-2-(dimethylamino)-N-[(3R,4S,7S,10Z)-7-(1H-indol-3-ylmethyl)-5,8-dioxo-3-propan-2-yl-2-oxa-6,9-diazabicyclo[10.2.2]hexadeca-1(14),10,12,15-tetraen-4-yl]-3-methylpentanamide",10.1590/S0103-50532011000700013
Elaeodendron croceum,"(6bS)-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicene-3,14-diol",10.1080/14786410903052399
Elaeodendron croceum,"(6bS,8aS,11R,12aR,14aR)-3,11-dihydroxy-4,6a,6b,8a,11,14a-hexamethyl-8,9,12,12a,13,14-hexahydro-7H-picene-2,10-dione",10.1080/14786410903052399
Elaeodendron croceum,"(6aS,6bS,8aS,11R,12aR,14aR)-3-hydroxy-4,6a,6b,8a,11,14a-hexamethyl-7,8,9,11,12,12a,13,14-octahydropicene-2,10-dione",10.1080/14786410903052399
Forsythia viridissima,ferulic acid,10.1155/2014/304830
Forsythia viridissima,(E)-p-coumaric acid,10.1155/2014/304830
Forsythia viridissima,"b-D-Glucopyranoside,2-(3,4-dihydroxyphenyl)-2-hydroxyethyl 6-O-(6-deoxy-a-L-mannopyranosyl)-",10.1155/2014/304830
Forsythia viridissima,4-hydroxyphenylacetic acid,10.1155/2014/304830
Forsythia viridissima,Agatholic acid,10.1155/2014/304830
Forsythia viridissima,Adoxosidic acid,10.1155/2014/304830
Forsythia viridissima,methyl α-D-glucopyranoside,10.1155/2014/304830
Forsythia viridissima,2-furoic acid,10.1155/2014/304830
Forsythia viridissima,Phillygenin-O-beta-D-glucopyranoside,10.1155/2014/304830
Forsythia viridissima,beta-amyrin acetate,10.1155/2014/304830
Forsythia viridissima,taraxasterol acetate,10.1155/2014/304830
Forsythia viridissima,methyl 2-(4-hydroxyphenyl)acetate,10.1155/2014/304830
Ginkgo biloba,flavonol 3-O-D-glucoside,10.1007/S11306-009-0195-X
Griffitharia pallescens,nobiletin,10.3892/IJO.2015.2946
Sorbus pallescens,nobiletin,10.3892/IJO.2015.2946
