,CAS ID,InChIKey
0,25480-40-4,AKHDCUIIFPFSCM-IMJSIDKUSA-N
0,343310-83-8,
0,82380-21-0,WVHQJXPRVZBEFP-VOTSOKGWSA-N
0,1821030-00-5,
0,30461-93-9,
0,1148111-52-7,
0,922192-69-6,
0,332837-99-7,
0,299159-92-5,
0,35688-42-7,
0,86203-13-6,
0,473882-82-5,
0,623-17-6,CKOYRRWBOKMNRG-UHFFFAOYSA-N
0,163017-13-8,
0,70521-82-3,
0,172617-68-4,
0,121825-42-1,
0,51581-03-4,
0,148462-00-4,
0,63975-58-6,
0,1006384-24-2,
0,1156503-65-9,
0,157446-63-4,
0,41043-22-5,
0,69567-10-8,AAKDPDFZMNYDLR-XZBKPIIZSA-N
0,850645-61-3,
0,58-85-5,YBJHBAHKTGYVGT-UHFFFAOYSA-N
0,10489-51-7,HIMSTRVEHVBQCS-UHFFFAOYSA-N
0,31023-24-2,IGQBPDJNUXPEMT-SNVBAGLBSA-N
0,2442-49-1,XUDJZDNUVZHSKZ-UHFFFAOYSA-N
0,107390-47-6,
0,393085-16-0,
0,71326-08-4,
0,10379-72-3,MPDGHEJMBKOTSU-IDZWEYSVSA-N
0,174541-14-1,
0,75871-96-4,IJMWYFHXJWRHQH-PSWNVJQFSA-N
0,65882-99-7,
