,CAS ID,InChIKey
0,114076-53-8,
0,142279-41-2,
0,27696-41-9,ASOIXDIITRKTOX-UHFFFAOYSA-N
0,482-35-9,OVSQVDMCBVZWGM-QSOFNFLRSA-N
0,58-27-5,MJVAVZPDRWSRRC-UHFFFAOYSA-N
0,27875-34-9,
0,60820-94-2,SFZVDNKTWPZIJG-ACNZYQHGSA-N
0,1139802-04-2,
0,517-46-4,FYIJLTSMNXUNLT-CXQFPWCTSA-N
0,120330-52-1,
0,220751-58-6,
0,147742-03-8,KDHLKFOOPWLPCD-UHFFFAOYSA-N
0,13849-90-6,
0,66656-92-6,UQCUBQIHIKJPHI-IEGHAIBGSA-N
0,59-02-9,GVJHHUAWPYXKBD-IEOSBIPESA-N
0,132-37-6,NLSMPWTZYGSAEU-CYUNEVMDSA-N
0,254757-92-1,
0,124878-04-2,
0,14787-33-8,
0,27661-51-4,
0,1209-63-8,
0,125180-54-3,
0,230283-40-6,
0,64849-48-5,
0,20421-13-0,ASAWUXMEXFAFMU-DBDULZNHSA-N
0,133838-66-1,PPZYUSOIUGJLFB-ZHEVZCJESA-N
0,148302-74-3,
0,5084-19-5,
0,35450-73-8,
0,696620-37-8,
0,254757-98-7,
0,471-80-7,QFVOYBUQQBFCRH-UHFFFAOYSA-N
